Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
   8500  0.00000E+00  0.00000E+000  3.49435E-019  5.29410E-015 -3.42691E-015 -5.30906E-015  6.41214E-005 -1.34966E-004  1.51112E-003  3.72558E-007  1.51019E-006  2.85259E-006  2.68140E-006  7.07479E-006  1.87146E-008  1.35296E+000
   8600  0.00000E+00  0.00000E+000  3.49394E-019  5.29911E-015 -3.50059E-015 -5.34920E-015  6.29606E-005 -1.35613E-004  1.51351E-003  3.71098E-007  1.50904E-006  2.84861E-006  2.67880E-006  7.07515E-006  1.87138E-008  1.35296E+000
   8700  0.00000E+00  0.00000E+000  3.49350E-019  5.31055E-015 -3.56097E-015 -5.39727E-015  6.16558E-005 -1.36067E-004  1.51703E-003  3.69701E-007  1.50802E-006  2.84485E-006  2.67641E-006  7.07626E-006  1.87169E-008  1.35297E+000
   8800  0.00000E+00  0.00000E+000  3.49310E-019  5.32697E-015 -3.61665E-015 -5.41600E-015  6.03579E-005 -1.36652E-004  1.52005E-003  3.68275E-007  1.50695E-006  2.84095E-006  2.67393E-006  7.07701E-006  1.87141E-008  1.35297E+000
   8900  0.00000E+00  0.00000E+000  3.49272E-019  5.33750E-015 -3.68419E-015 -5.44049E-015  5.92294E-005 -1.37329E-004  1.52213E-003  3.66902E-007  1.50582E-006  2.83715E-006  2.67145E-006  7.07709E-006  1.87060E-008  1.35297E+000
   9000  0.00000E+00  0.00000E+000  3.49232E-019  5.34909E-015 -3.74645E-015 -5.48247E-015  5.80712E-005 -1.37810E-004  1.52508E-003  3.65607E-007  1.50480E-006  2.83362E-006  2.66919E-006  7.07780E-006  1.87056E-008  1.35298E+000
   9100  0.00000E+00  0.00000E+000  3.49194E-019  5.36780E-015 -3.80000E-015 -5.50234E-015  5.68586E-005 -1.38332E-004  1.52815E-003  3.64304E-007  1.50380E-006  2.83003E-006  2.66693E-006  7.07856E-006  1.87036E-008  1.35298E+000
   9200  0.00000E+00  0.00000E+000  3.49159E-019  5.38200E-015 -3.86311E-015 -5.51626E-015  5.57801E-005 -1.38992E-004  1.53020E-003  3.63023E-007  1.50273E-006  2.82643E-006  2.66461E-006  7.07864E-006  1.86961E-008  1.35298E+000
   9300  0.00000E+00  0.00000E+000  3.49123E-019  5.39538E-015 -3.92720E-015 -5.55011E-015  5.47209E-005 -1.39510E-004  1.53267E-003  3.61808E-007  1.50172E-006  2.82306E-006  2.66244E-006  7.07897E-006  1.86963E-008  1.35298E+000
   9400  0.00000E+00  0.00000E+000  3.49087E-019  5.41373E-015 -3.98028E-015 -5.57401E-015  5.35926E-005 -1.39966E-004  1.53563E-003  3.60602E-007  1.50079E-006  2.81974E-006  2.66037E-006  7.07964E-006  1.86989E-008  1.35298E+000
   9500  0.00000E+00  0.00000E+000  3.49054E-019  5.43092E-015 -4.03777E-015 -5.58310E-015  5.25462E-005 -1.40542E-004  1.53771E-003  3.59398E-007  1.49979E-006  2.81635E-006  2.65821E-006  7.07974E-006  1.86963E-008  1.35297E+000
   9600  0.00000E+00  0.00000E+000  3.49021E-019  5.44471E-015 -4.10202E-015 -5.60846E-015  5.15798E-005 -1.41053E-004  1.53969E-003  3.58260E-007  1.49882E-006  2.81314E-006  2.65614E-006  7.07985E-006  1.86993E-008  1.35297E+000
   9700  0.00000E+00  0.00000E+000  3.48987E-019  5.45880E-015 -4.15571E-015 -5.63400E-015  5.05687E-005 -1.41458E-004  1.54237E-003  3.57154E-007  1.49794E-006  2.81005E-006  2.65419E-006  7.08046E-006  1.87072E-008  1.35297E+000
   9800  0.00000E+00  0.00000E+000  3.48955E-019  5.47322E-015 -4.20685E-015 -5.64184E-015  4.96128E-005 -1.41966E-004  1.54462E-003  3.56038E-007  1.49704E-006  2.80688E-006  2.65218E-006  7.08076E-006  1.87094E-008  1.35297E+000
   9900  0.00000E+00  0.00000E+000  3.48925E-019  5.48171E-015 -4.26354E-015 -5.65828E-015  4.87628E-005 -1.42492E-004  1.54643E-003  3.54963E-007  1.49611E-006  2.80380E-006  2.65019E-006  7.08076E-006  1.87111E-008  1.35297E+000
  10000  0.00000E+00  0.00000E+000  3.48893E-019  5.49027E-015 -4.31118E-015 -5.68251E-015  4.79009E-005 -1.42878E-004  1.54882E-003  3.53934E-007  1.49526E-006  2.80090E-006  2.64833E-006  7.08116E-006  1.87185E-008  1.35297E+000
